SeqNo,text,hashtags,comments,likes
38,38,"My mood today 。
。
。
。
。
。
。
。
。
。
。
。
。
。
@emmawatson #emmawatson #emmawatsonfan #emmawatsonlove #emmawatsonfanpage #movies #hermionegranger #hermionegrangeredit #hermionejeangranger #love #beautiful #perksofbeingawallflower #samanthadutton #theblingring #nikimoore #thecircle #maeholland #actress #thetaleofdespereaux #princesspea #balletshoes #aweekwithmarilyn #colonia #noah #regression #littlewomen #idols #beautyandthebeast #heforshe #yourvoiceinmyhead",heforshe,|U know that the girl beside her is Indian😇,276
39,39,"-
Life will not always give you answers. That doesn't mean you should be passive and live in a boring and meaningless way without letting anything give you all the happiness & love you need.
You can get the opportunity to find your purpose, create it. Maybe it is growing up & making your own family, getting into university, doing the job of your dreams, being famous or rich, helping people, being the reason why someone's life changed or something else. You are going to figure this out. Who knows? Maybe the purpose of life is trying to find it. And it's not pointless as it may seem, it's worth it. Because in the process you learn so much about yourself & others, you are filled with emotions that make you stronger, you develop relationships, you live to know how much you can reach.
Set further goals even if they are too much and difficult for you. Work to do the impossible. It's something that will lead you to great places. Don't give up, explore yourself & your potential. Don't let bad moments or people who didn't appreciate you change or define your world. Don't fear having ambitions and changing them. 
Go get the life you can have & live it to the fullest!
@emmawatson #emmawatson",heforshe,"|#emmawatson #watsonmyhome #watsoner #emmawatsonfanpage #emmawatsonfan #emma #watson #emmacharlotteduerrewatson #harrypotter #hermionegranger #beautyandthebeast #belle #theperksofbeingwallflower #thecircle #emmawatsonedit #emmawatsonlover #idol #rolemodel #feminism #heforshe #iloveher #werespectemma|first ❤️❤️❤️ ilysm|with all my heart|Goals♡|A CUTIE 😍|YOUR CAPTION >>>>|LOVE U 💓💓💕💕|hottie🔥🔥🔥|I love you ❤️|she's flawless|and so are you and your texts|you're definitely the caption queen|this is sooo amazing wow😫|thank you so much for this|i love you!|I love these 2 photos 😭😍|Sweetest caption, she loves you sm|Ghariht Bell",673
40,40,visit #persuit and #Johnathan for your best #tailormade #italiansuit #empowerment #authenticitalianmade #design #italian #sustainability #makingofgentlemen #friendssupportfriends #HongKong #fashion #sustainability #finance #heforshe #avantfaireim #avantfaire #impactinvesting,heforshe,|Thanks for visiting 😎,6
41,41,"J’ai eu le plaisir ce mardi de revoir Mme Patricia ZOUNDI, une femme aussi visionnaire que solidaire.
Je tenais à lui présenter mes félicitations pour sa nomination en tant que eTrade for Women Advocate par la Conférence des Nations Unies sur le Commerce et le Développement (CNUCED). Fondatrice de QUICKCASH, et promotrice de @CanaanLandci, Patricia Zoundi est une fierté pour notre pays. 
Je lui adresse tous mes voeux de réussite pour ce nouveau challenge à relever !

#QuickCash #Femme  #Développement #Entrepreneuriat #Cotedivoire #HeForShe",heforshe,|Monsieur le ministre AMONH TANOH MARCEL je veux vous voir de mes deux yeux seulement pour bous bonjour sais tout !|Telment que je vous adore ❤️❤️❤️🇨🇮🇨🇮🇨🇮🇨🇮|Que le SEIGNEUR bénisse projet 🙏💝|👏,310
42,42,"She is gorgeous 💕💕 @wizardlywatson .
.#emmawatson .
Follow @wizardlywatson",heforshe,|tags|Belleza Preciosa 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍|Adoro-te mesmo muito|🌹❤️,99
43,43,"What exactly is female empowerment? 💪⁣
⁣
Turns out there isn’t a single definition- most languages don’t even have a word for empowerment! We believe empowerment enables women to make their own choices, and have the opportunity to turn those choices into actions. Essentially, to have the ability to turn “I can’t” into “I can”. At MWF, we want to lift up our community of women to feel like they can do ANYTHING they set their minds to! Here’s the short-list of sessions to help raise you up: ⁣
⁣
👉Ambitious Living - Dream Big⁣
👉Freedom from Limiting Beliefs⁣
👉Girl Rising movie screening⁣
👉Conscious Self-Talk: Change your Voice, Change your Life⁣
👉Standing in Your Power⁣
👉Ignite Your Radiance: Kundalini Yoga + Meditation⁣
👉Drop the Goddess Mask⁣
👉Unframe yourself towards Radical Freedom⁣
👉Unstoppable: Learn the Tricks to Ooze Confidence, Courage and Charisma⁣
👉Fierce Feminine Leadership - Lessons in Emotional Intelligence⁣
👉Awaken Your Goddess ⁣
👉I Am Woman, Hear Me Roar⁣
👉FindYourRoar Finding Liberation & Empowerment through the Voice⁣
👉[I AM] EMPOWERED⁣
⁣
We’re lucky enough to have our new empowered-woman role model, Tricia Grant @triciagranteq , joining us to lead a session on Fierce Feminine Leadership - Lessons in Emotional Intelligence. 
Tricia is a bada** business woman who has climbed the corporate ladder and now trains people in corporate to buy and sell businesses! She will teach us how to be strong female leaders using clever tricks to boost our emotional intelligence and be our best in business. Personally, we can’t think of anything more empowering than feeling ready and able to kick-butt in the business world! ⁣
⁣
⁣
Have you got your tickets yet? Don’t forget that the tickets at the door will be 20% more expensive than the discounted pre-sale!",heforshe,"|.⁣⁣
.⁣⁣
.⁣⁣
.⁣⁣
.⁣⁣
#Mwf_2019 #modernwomanfestival #womenempowerment #womenforwomen #heforshe #girlrising #womeninbusiness #femaleceo #femaleleaders #fierce #fiercewomen #empoweredwomen #femalerolemodels #goddess #queen #confidence #charisma #kundaliniyoga #meditation #consciouscommunity #selftalk #ambitiouswomen #dreamersanddoers #goalgetter",26
44,44,"[𝐄𝐦 𝐱 𝐌𝐓𝐕 𝟐𝟎𝟏𝟕🌟]
-
A pic of Emma in her outfit for the MTV Movie Awards, 2017.
-
Her back is gOrGeOuS I can't omg
-
Sorry for not posting! School's pretty busy atm... Especially Monday / Tuesday. And idk what I did on Sunday... Haha doesn't matter😂
-
@mtv
-
ᵐᵉ ˡᵒᵛᵉˢ
@dasjanna
♡
-
[𝚃𝚊𝚐𝚜]
#emmawatson #fanpage #mtvmovieawards #feminist #heforshe #oursharedshelf #harrypotter #theperksofbeingawallflower #noah #theblingring #thisistheend #regression #colonia #beautyandthebeast #thecircle #littlewomen #watsoners",heforshe,|❤️😍,188
45,45,"If a women is outspoken,wears small clothes, goes clubbing ,etc.Then it's wrong according to the society.They say that a woman should be more cultured and polite.Similarly if a boy is polite ,effiminate , with weak muscles then the society thinks that he should be more masculine.Situations are the same,in both the cases neither the girl nor the boy is wrong but it's just that the society has its own standards of stereotype masculinity and femininity.it's high time we need to understand that you are beautiful the way you are.The truth is that both male and female are abused in today's world but our society is wearing a mask of stereotype masculinity and femininity.It's high time we think.
-siddharth lokare (@sid_gypsy_ )
#maskofmasculinity #feminism #feminist #heforshe",heforshe,|Word.,29
46,46,#heforshe #heforshecampaign #againstgenderbasedviolence,heforshe,|💯😎❤️,15
47,47,#heforshe #heforshecampaign #againstgenderbasedviolence #againstrape,heforshe,|💯😎🙌❤️,12
